2025-07-16 15:35:09,715 - __main__ - INFO - Starting...
2025-07-16 15:35:22,098 - matplotlib.pyplot - DEBUG - Loaded backend qtagg version 5.15.11.
2025-07-16 15:35:22,135 - matplotlib.font_manager - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2025-07-16 15:35:22,135 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\long.pham\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-07-16 15:35:22,136 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\long.pham\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-07-16 15:35:22,136 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\long.pham\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2025-07-16 15:35:22,136 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\long.pham\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-07-16 15:35:22,136 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\long.pham\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
2025-07-16 15:35:22,136 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\long.pham\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBol.ttf', name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-07-16 15:35:22,136 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\long.pham\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-07-16 15:35:22,137 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\long.pham\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymReg.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-07-16 15:35:22,137 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\long.pham\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-07-16 15:35:22,137 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\long.pham\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-07-16 15:35:22,137 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\long.pham\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-07-16 15:35:22,137 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\long.pham\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-07-16 15:35:22,138 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\long.pham\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymBol.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-07-16 15:35:22,138 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\long.pham\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
2025-07-16 15:35:22,138 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\long.pham\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-07-16 15:35:22,138 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\long.pham\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-07-16 15:35:22,138 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\long.pham\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-07-16 15:35:22,138 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\long.pham\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
